Names_mpio,Names_depto,URL_mpio,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
BARBOSA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01043ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,92.0,92.0,34.84,13430.0,38541.0,32.64,4200.0,67.35,8666.0,12866.0,287.0,277.0,1.0,0.6515399185283205
BELLO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01049ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,679.0,679.0,38.26,121850.0,318411.0,36.43,43642.0,63.56,76122.0,119764.0,509.0,1577.0,1.0,0.6173184971624723
BELMIRA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01046ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,14.0,14.0,33.63,1617.0,4807.0,43.37,687.0,56.62,897.0,1584.0,16.0,17.0,1.0,0.6636155606407322
BETANIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01052ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,19.0,19.0,19.21,1609.0,8372.0,29.56,466.0,70.43,1110.0,1576.0,11.0,22.0,1.0,0.8078117534639274
BETULIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01055ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,33.0,33.0,22.59,3023.0,13377.0,34.37,1005.0,65.62,1919.0,2924.0,50.0,49.0,1.0,0.7740151005457128
BOLIVAR,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01058ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,60.0,60.0,23.45,5636.0,24029.0,29.78,1644.0,70.21,3875.0,5519.0,57.0,60.0,1.0,0.7654500811519414
BRICEÑO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01062ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,19.0,19.0,33.68,2078.0,6169.0,69.35,1367.0,30.64,604.0,1971.0,62.0,45.0,1.0,0.6631544820878587
BURITICA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01061ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,19.0,19.0,20.58,1406.0,6829.0,34.75,474.0,65.24,890.0,1364.0,22.0,20.0,1.0,0.7941133401669351
CACERES,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01064ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,48.0,48.0,20.23,4004.0,19788.0,64.85,2506.0,35.14,1358.0,3864.0,57.0,83.0,1.0,0.7976551445320397
CAICEDO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01067ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,15.0,15.0,26.26,1600.0,6091.0,39.16,593.0,60.83,921.0,1514.0,43.0,43.0,1.0,0.7373173534723363
