Names_mpio,Names_depto,URL_mpio,URL_depto, Mesas instaladas,Mesas informadas,Potencial sufragantes,Total sufragantes,Votos por candidatos,Votos en blanco,Votos válidos,Votos nulos,Votos no marcados,Votos_Santos,Porc_Votos_Santos,Votos_Zuluaga,Porc_Votos_Zuluaga
VILLANUEVA,BOLIVAR,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0512499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0599999_L1.htm,38,38,14210,6668,6454,80,6534,122,12,2873,43.97,3581,54.80
ZAMBRANO,BOLIVAR,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0512799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0599999_L1.htm,23,23,8536,4769,4688,23,4711,35,23,4165,88.41,523,11.10
ALMEIDA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0700799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,5,5,1867,845,806,15,821,18,6,241,29.35,565,68.81
AQUITANIA (PUEBLOVIEJO),BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0700899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,38,38,12252,6932,6639,118,6757,139,36,859,12.71,5780,85.54
ARCABUCO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0701099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,12,12,4415,2406,2206,109,2315,76,15,975,42.11,1231,53.17
BELEN,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0701399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,18,18,6658,3709,3398,142,3540,150,19,1152,32.54,2246,63.44
BERBEO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0701699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,4,4,1466,687,635,35,670,16,1,286,42.68,349,52.08
BETEITIVA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0701999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,5,5,1884,974,906,42,948,22,4,464,48.94,442,46.62
BOAVITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0702299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,15,15,5150,2445,2348,51,2399,40,6,656,27.34,1692,70.52
BOYACA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0702599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,4001,2089,1942,43,1985,75,29,660,33.24,1282,64.58
BRICEÑO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0702899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,1977,1075,1032,27,1059,11,5,339,32.01,693,65.43
BUENAVISTA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0703199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,14,14,4503,2447,2345,36,2381,44,22,809,33.97,1536,64.51
BUSBANZA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0703499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,2,2,763,406,369,21,390,11,5,122,31.28,247,63.33
CALDAS,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0703799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3072,1639,1552,50,1602,31,6,617,38.51,935,58.36
CAMPOHERMOSO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0704099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,2502,1339,1287,43,1330,8,1,442,33.23,845,63.53
CERINZA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0704399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,9,9,3303,1815,1622,94,1716,93,6,577,33.62,1045,60.89
CHINAVITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0706499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,9,9,3101,1562,1513,24,1537,22,3,455,29.60,1058,68.83
CHIQUINQUIRA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0706799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,105,105,38741,20939,19277,923,20200,701,38,8694,43.03,10583,52.39
CHIQUIZA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0706899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,12,12,4236,2411,2214,49,2263,138,10,1430,63.19,784,34.64
CHISCAS,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0707099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,3542,1824,1775,24,1799,22,3,380,21.12,1395,77.54
CHITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0707399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,22,22,6430,3226,3118,42,3160,41,25,374,11.83,2744,86.83
CHITARAQUE,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0707699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,15,15,5240,2439,2342,42,2384,42,13,920,38.59,1422,59.64
CHIVATA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0707799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,7,7,2545,1494,1421,23,1444,46,4,687,47.57,734,50.83
CHIVOR,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0707899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,1778,937,901,15,916,20,1,261,28.49,640,69.86
CIENEGA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0704699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3757,2242,2162,48,2210,25,7,326,14.75,1836,83.07
COMBITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0704999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,24,24,8320,4241,3919,134,4053,171,17,1838,45.34,2081,51.34
COPER,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0705299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,3240,1680,1634,24,1658,17,5,878,52.95,756,45.59
CORRALES,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0705599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,2170,1289,1165,51,1216,70,3,427,35.11,738,60.69
COVARACHIA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0705899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3177,1470,1417,18,1435,24,11,220,15.33,1197,83.41
CUBARA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0705999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,15,15,4575,1812,1665,72,1737,59,16,1002,57.68,663,38.16
CUCAITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0706099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,2988,1868,1757,68,1825,39,4,695,38.08,1062,58.19
CUITIVA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0706199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,1870,1091,1048,19,1067,23,1,317,29.70,731,68.50
DUITAMA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0707999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,201,201,79112,45913,41131,2449,43580,2265,68,18391,42.20,22740,52.17
EL COCUY,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0708299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,3711,2033,1910,83,1993,36,4,222,11.13,1688,84.69
EL ESPINO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0708599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,7,7,2244,1300,1271,15,1286,8,6,128,9.95,1143,88.88
FIRAVITOBA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0708899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,16,16,5540,2565,2358,99,2457,98,10,1192,48.51,1166,47.45
FLORESTA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0709199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,9,9,3045,1692,1595,51,1646,40,6,425,25.82,1170,71.08
GACHANTIVA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0709499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,2766,1578,1507,30,1537,32,9,594,38.64,913,59.40
GAMEZA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0709799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,4044,2051,1951,33,1984,59,8,456,22.98,1495,75.35
GARAGOA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0710099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,32,32,11535,6166,5777,207,5984,169,13,2386,39.87,3391,56.66
GUACAMAYAS,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0710399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,5,5,1642,920,886,20,906,11,3,83,9.16,803,88.63
GUATEQUE,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0710699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,24,24,8798,4313,4019,146,4165,131,17,1906,45.76,2113,50.73
GUAYATA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0710999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3876,2032,1956,43,1999,25,8,469,23.46,1487,74.38
GUICAN,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0711299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,2992,1667,1587,44,1631,24,12,288,17.65,1299,79.64
IZA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0711899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,2115,1075,1015,35,1050,24,1,374,35.61,641,61.04
JENESANO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0712199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,14,14,5296,2764,2629,55,2684,71,9,1007,37.51,1622,60.43
JERICO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0712499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,9,9,3094,1639,1589,22,1611,22,6,228,14.15,1361,84.48
LA CAPILLA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0713099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,7,7,2574,1354,1288,36,1324,27,3,433,32.70,855,64.57
LA UVITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0713699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,2512,1348,1294,21,1315,24,9,238,18.09,1056,80.30
LA VICTORIA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0713799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,1478,761,736,14,750,9,2,384,51.20,352,46.93
LABRANZAGRANDE,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0712799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,2670,1506,1454,22,1476,20,10,204,13.82,1250,84.68
MACANAL,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0714299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3533,1844,1777,30,1807,32,5,571,31.59,1206,66.74
MARIPI,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0714899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,21,21,6561,2983,2919,28,2947,30,6,1296,43.97,1623,55.07
MIRAFLORES,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0715199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,20,20,7548,4307,3995,221,4216,78,13,2303,54.62,1692,40.13
MONGUA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0715499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,11,11,3841,2461,2393,28,2421,36,4,257,10.61,2136,88.22
MONGUI,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0715799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,9,9,3436,1925,1812,63,1875,44,6,482,25.70,1330,70.93
MONIQUIRA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0716099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,45,45,16776,8630,7985,273,8258,339,33,3547,42.95,4438,53.74
MOTAVITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0716199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,13,13,4759,2763,2566,76,2642,114,7,1327,50.22,1239,46.89
MUZO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0716399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,18,18,6961,3381,3189,79,3268,80,33,955,29.22,2234,68.35
NOBSA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0716699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,29,29,10901,6802,6165,293,6458,339,5,3442,53.29,2723,42.16
NUEVO COLON,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0716999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,12,12,4437,2359,2204,79,2283,65,11,763,33.42,1441,63.11
OICATA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0717399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,2290,1261,1169,44,1213,46,2,534,44.02,635,52.34
OTANCHE,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0717699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,23,23,6353,3102,2952,70,3022,61,19,562,18.59,2390,79.08
PACHAVITA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0717899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,6,6,1994,1156,1107,26,1133,19,4,311,27.44,796,70.25
PAEZ,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0717999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,7,7,2265,1465,1406,31,1437,23,5,625,43.49,781,54.34
PAIPA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0718199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,63,63,23614,13512,12308,619,12927,555,30,5865,45.37,6443,49.84
PAJARITO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0718499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,5,5,1612,889,852,18,870,12,7,191,21.95,661,75.97
PANQUEBA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0718799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,4,4,1516,813,788,13,801,10,2,83,10.36,705,88.01
PAUNA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0719099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,19,19,6759,3522,3366,67,3433,62,27,1130,32.91,2236,65.13
PAYA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0719399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,5,5,1284,752,706,31,737,12,3,119,16.14,587,79.64
PAZ DE RIO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0719999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,12,12,4418,2142,1970,83,2053,74,15,1335,65.02,635,30.93
PESCA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0720299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,17,17,6147,3038,2880,69,2949,77,12,679,23.02,2201,74.63
PISBA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0720599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,3,3,968,563,547,9,556,3,4,144,25.89,403,72.48
PUERTO BOYACA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0721499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,86,86,31446,15152,13809,624,14433,633,86,6139,42.53,7670,53.14
QUIPAMA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0721599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,15,15,4842,2357,2257,35,2292,40,25,525,22.90,1732,75.56
RAMIRIQUI,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0721799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,23,23,8433,4474,4249,127,4376,90,8,1639,37.45,2610,59.64
RAQUIRA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0722099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,12,12,4405,2503,2310,112,2422,70,11,812,33.52,1498,61.84
RONDON,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0722399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,7,7,2246,1234,1171,36,1207,21,6,438,36.28,733,60.72
SABOYA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0722699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,28,28,9419,5762,5403,165,5568,158,36,2130,38.25,3273,58.78
SACHICA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0723299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,3126,2058,1913,60,1973,74,11,964,48.85,949,48.09
SAMACA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0723599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,33,33,12663,7471,6873,279,7152,298,21,2787,38.96,4086,57.13
SAN EDUARDO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0723799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,4,4,1423,799,734,51,785,12,2,252,32.10,482,61.40
SAN JOSE DE PARE,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0723899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,15,15,5155,2384,2268,52,2320,43,21,749,32.28,1519,65.47
SAN LUIS DE GACENO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0724199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,14,14,4485,2435,2326,66,2392,30,13,526,21.98,1800,75.25
SAN MATEO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0724799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3708,1942,1877,36,1913,19,10,243,12.70,1634,85.41
SAN MIGUEL DE SEMA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0724899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,7,7,2722,1450,1369,38,1407,37,6,486,34.54,883,62.75
SAN PABLO DE BORBUR,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0724999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,16,16,5775,2752,2638,38,2676,54,22,486,18.16,2152,80.41
SANTA MARIA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0725199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,10,10,3377,1574,1408,91,1499,66,9,565,37.69,843,56.23
SANTA ROSA DE VITERBO,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0725399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,21,21,7720,4612,4251,193,4444,154,14,1443,32.47,2808,63.18
SANTA SOFIA,BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0725699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,8,8,2960,1554,1458,48,1506,39,9,423,28.08,1035,68.72
