PAÍS,TIPO,URL PAÍS,URL CONSULADO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
FINLANDIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88375ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,55.71,39,70,84.61,33,15.38,6,39,0,0,1,0.4428571429
FRANCIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88380ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,19,19,25.54,1816,7110,82.53,1498,17.46,317,1815,1,0,1,0.7445850914
GHANA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88115ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,29.41,5,17,100,5,0,0,5,0,0,1,0.7058823529
GRECIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88405ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,48.93,23,47,82.6,19,17.39,4,23,0,0,1,0.5106382979
GUATEMALA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88410ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,29.69,215,724,50.69,109,49.3,106,215,0,0,1,0.703038674
HOLANDA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88435ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,4,4,17.77,301,1693,77.4,233,22.59,68,301,0,0,1,0.8222090963
HONDURAS,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88440ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,13.83,61,441,55.73,34,44.26,27,61,0,0,1,0.8616780045
INDIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88455ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,17.72,14,79,100,14,0,0,14,0,0,1,0.8227848101
INDONESIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88460ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,29.47,56,190,83.92,47,16.07,9,56,0,0,1,0.7052631579
INGLATERRA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88465ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,21,21,18.45,1694,9177,68.53,1159,31.46,532,1691,1,2,1,0.8154080854
